location,datetime,SF6 [ppm]
center,2021-05-11T11:46:32Z,-0.00228332710137813
near_door,2021-05-11T11:47:34Z,0.00419450135969801
near_window,2021-05-11T11:48:22Z,0.00949277580990362
center,2021-05-11T11:49:27Z,0.00805622383321099
near_door,2021-05-11T11:50:12Z,0.00820515039219345
near_window,2021-05-11T11:50:57Z,0.0121248625657384
center,2021-05-11T11:51:52Z,0.0157409539506559
near_door,2021-05-11T11:52:37Z,0.00786281600141007
near_window,2021-05-11T11:53:22Z,0.00723844325168518
center,2021-05-11T11:54:07Z,0.0120882889792879
near_door,2021-05-11T11:54:52Z,-0.000459136549251404
near_window,2021-05-11T11:55:42Z,-0.00550897977058098
center,2021-05-11T11:56:32Z,0.0023315965149887
near_door,2021-05-11T11:57:17Z,0.000573105196818296
near_window,2021-05-11T11:58:07Z,0.000511639889116689
center,2021-05-11T11:59:07Z,0.00614109511799455
near_door,2021-05-11T11:59:57Z,0.00275696099892345
near_window,2021-05-11T12:00:42Z,0.631209792433925
center,2021-05-11T12:01:32Z,0.00203193049011411
near_door,2021-05-11T12:02:17Z,0.00497768604350606
near_window,2021-05-11T12:03:02Z,0.0089654359260127
center,2021-05-11T12:03:57Z,0.00558986770003289
near_door,2021-05-11T12:04:42Z,0.00623582226573115
near_window,2021-05-11T12:05:32Z,-0.000267047125462906
center,2021-05-11T12:06:22Z,0.0002177397896595
near_door,2021-05-11T12:07:12Z,0.0916889219634217
near_window,2021-05-11T12:07:57Z,95.659208146808
center,2021-05-11T12:08:57Z,13.768825041356
near_door,2021-05-11T12:09:47Z,6.63087401574803
near_window,2021-05-11T12:10:32Z,99.2209440116425
center,2021-05-11T12:11:22Z,9.59557458872731
near_door,2021-05-11T12:12:17Z,5.19662842487203
near_window,2021-05-11T12:13:02Z,58.503253368823
center,2021-05-11T12:13:52Z,38.5430889252973
near_door,2021-05-11T12:14:42Z,20.3044775761725
near_window,2021-05-11T12:15:32Z,77.9642516261554
center,2021-05-11T12:16:17Z,64.0336506178822
near_door,2021-05-11T12:17:02Z,23.2451270582283
near_window,2021-05-11T12:17:52Z,79.1800499519576
center,2021-05-11T12:18:42Z,36.2350489323716
near_door,2021-05-11T12:19:47Z,26.739307957948
near_window,2021-05-11T12:20:37Z,85.0926503384704
center,2021-05-11T12:21:27Z,53.1408963931879
near_door,2021-05-11T12:22:12Z,34.0439770157189
near_window,2021-05-11T12:23:02Z,84.3793137469476
center,2021-05-11T12:23:52Z,57.3401737573317
near_door,2021-05-11T12:24:42Z,40.8066453034774
near_window,2021-05-11T12:25:27Z,91.2704832723971
center,2021-05-11T12:26:12Z,61.6234712581876
near_door,2021-05-11T12:26:57Z,46.1195841404211
near_window,2021-05-11T12:27:42Z,90.2210761890927
center,2021-05-11T12:28:27Z,48.6961497150801
near_door,2021-05-11T12:29:27Z,46.9054026797045
near_window,2021-05-11T12:30:12Z,94.0299153162177
center,2021-05-11T12:30:57Z,72.005523621504
near_door,2021-05-11T12:31:42Z,55.0617911834142
near_window,2021-05-11T12:32:32Z,100.006757523393
center,2021-05-11T12:33:22Z,48.9432630324372
near_door,2021-05-11T12:34:12Z,60.4686267462616
near_window,2021-05-11T12:34:57Z,93.3643503462267
center,2021-05-11T12:35:42Z,59.7635302818374
near_door,2021-05-11T12:36:37Z,55.9184476670654
near_window,2021-05-11T12:37:22Z,92.9870943015522
center,2021-05-11T12:38:07Z,59.7981297660914
near_door,2021-05-11T12:39:07Z,58.7322474561232
near_window,2021-05-11T12:39:52Z,96.8634733111921
center,2021-05-11T12:40:37Z,71.9758712300291
near_door,2021-05-11T12:41:22Z,60.5131103610072
near_window,2021-05-11T12:42:12Z,99.6591538701931
center,2021-05-11T12:42:57Z,62.5246113565844
near_door,2021-05-11T12:43:42Z,62.4784837384457
near_window,2021-05-11T12:44:27Z,96.7102642610387
center,2021-05-11T12:45:12Z,70.0994600545484
near_door,2021-05-11T12:46:02Z,68.160441006732
near_window,2021-05-11T12:46:47Z,100.181383865456
center,2021-05-11T12:47:37Z,74.9099296159127
near_door,2021-05-11T12:48:27Z,65.3301710185437
near_window,2021-05-11T12:49:32Z,98.5306737429558
center,2021-05-11T12:50:22Z,67.67280546819
near_door,2021-05-11T12:51:12Z,69.0764073008662
near_window,2021-05-11T12:51:57Z,101.561924402829
center,2021-05-11T12:52:42Z,74.2756710958562
near_door,2021-05-11T12:53:32Z,70.8737454324139
near_window,2021-05-11T12:54:27Z,91.1502146205047
center,2021-05-11T12:55:12Z,72.5607090976275
near_door,2021-05-11T12:56:02Z,71.6068502849199
near_window,2021-05-11T12:56:47Z,93.5109733277412
center,2021-05-11T12:57:37Z,74.7649556653246
near_door,2021-05-11T12:58:22Z,71.4569342690859
near_window,2021-05-11T12:59:22Z,99.4680573289996
center,2021-05-11T13:00:07Z,81.8752301200493
near_door,2021-05-11T13:00:52Z,74.0763344275642
near_window,2021-05-11T13:01:37Z,97.8947611644396
center,2021-05-11T13:02:22Z,78.0021441447288
near_door,2021-05-11T13:03:17Z,73.5969339885875
near_window,2021-05-11T13:04:02Z,90.0036152632105
center,2021-05-11T13:04:52Z,77.997202079483
near_door,2021-05-11T13:05:37Z,76.7204499398048
near_window,2021-05-11T13:06:27Z,89.8635783503349
center,2021-05-11T13:07:12Z,82.8389730632486
near_door,2021-05-11T13:08:07Z,78.3761071550839
near_window,2021-05-11T13:09:07Z,90.1370560523807
center,2021-05-11T13:09:52Z,81.8834702471479
near_door,2021-05-11T13:10:37Z,78.8060819140692
near_window,2021-05-11T13:11:22Z,92.6114772327375
center,2021-05-11T13:12:17Z,79.7368794314741
near_door,2021-05-11T13:13:02Z,79.8736132549637
near_window,2021-05-11T13:13:47Z,93.5060362900287
center,2021-05-11T13:14:32Z,83.7088117392441
near_door,2021-05-11T13:15:17Z,79.3760935859302
near_window,2021-05-11T13:16:07Z,96.6246051484669
center,2021-05-11T13:16:57Z,85.5885260041108
near_door,2021-05-11T13:17:42Z,81.9098296043033
near_window,2021-05-11T13:18:27Z,95.3313727545916
center,2021-05-11T13:19:32Z,83.2079940083578
near_door,2021-05-11T13:20:22Z,83.7681215497271
near_window,2021-05-11T13:21:12Z,97.6674161080658
center,2021-05-11T13:22:02Z,88.9558471557659
near_door,2021-05-11T13:22:47Z,84.1733859824834
near_window,2021-05-11T13:23:37Z,95.1172098905621
center,2021-05-11T13:24:22Z,85.3035151406471
near_door,2021-05-11T13:25:12Z,83.5094750709521
near_window,2021-05-11T13:26:02Z,92.8305871895461
center,2021-05-11T13:26:52Z,88.2309874578918
near_door,2021-05-11T13:27:42Z,84.0959569419435
near_window,2021-05-11T13:28:27Z,93.7251361917707
center,2021-05-11T13:29:27Z,91.1914001733975
near_door,2021-05-11T13:30:17Z,85.5654596812749
near_window,2021-05-11T13:31:02Z,90.4517092522527
center,2021-05-11T13:31:52Z,88.1568514516714
near_door,2021-05-11T13:32:42Z,87.7565290841609
near_window,2021-05-11T13:33:32Z,91.361089477748
center,2021-05-11T13:34:22Z,86.9921228092537
near_door,2021-05-11T13:35:12Z,86.5506148888504
near_window,2021-05-11T13:35:57Z,87.782883413783
center,2021-05-11T13:36:42Z,90.4220568607778
near_door,2021-05-11T13:37:27Z,85.7631523461739
near_window,2021-05-11T13:38:12Z,90.0415027542506
center,2021-05-11T13:39:12Z,89.1749571125745
near_door,2021-05-11T13:39:57Z,87.142043852621
near_window,2021-05-11T13:40:42Z,92.3297744861931
center,2021-05-11T13:41:32Z,90.9706512407292
near_door,2021-05-11T13:42:17Z,88.6082435025663
near_window,2021-05-11T13:43:02Z,92.5851229031154
center,2021-05-11T13:43:47Z,89.6790678777803
near_door,2021-05-11T13:44:32Z,87.9525727181335
near_window,2021-05-11T13:45:22Z,92.2161019580061
center,2021-05-11T13:47:02Z,88.8998404346689
near_door,2021-05-11T13:47:59Z,87.7351117922513
near_window,2021-05-11T13:48:47Z,89.6411803867401
center,2021-05-11T13:49:52Z,88.5720050424525
near_door,2021-05-11T13:50:37Z,88.2178052655475
near_window,2021-05-11T13:51:32Z,93.7284342536234
center,2021-05-11T13:52:17Z,88.0893115691564
near_door,2021-05-11T13:53:02Z,85.801039837214
near_window,2021-05-11T13:53:47Z,96.7613339444232
center,2021-05-11T13:54:37Z,86.3446871243862
near_door,2021-05-11T13:55:27Z,88.4566834833393
near_window,2021-05-11T13:56:17Z,94.5224929200055
center,2021-05-11T13:57:07Z,86.6741715475289
near_door,2021-05-11T13:57:52Z,87.3117231019049
near_window,2021-05-11T13:58:42Z,93.1485384512708
center,2021-05-11T13:59:42Z,87.5555383574092
near_door,2021-05-11T14:00:27Z,85.9970834711866
near_window,2021-05-11T14:01:17Z,92.6707920707538
